Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address 1,Address 2,County,lat,lon,Primary NAICS Code,Industry Type (subparts),val
1005691,110043793954,WAHA GAS PLANT,COYANOSA,TX,79730,2821 WAHA ROAD,,Pecos,31.1599754,-103.1048449,486210,C (Abbr),67319
1006988,110000424390,WALDORF CORP,SAINT PAUL,MN,55114,2250 WABASH AVENUE,,RAMSEY,44.95966,-93.19341,322130,C,135788
1006025,110043812666,WALKER MOUNTAIN LANDFILL-ROME-FLOYD SW COMMISSION,ROME,GA,30161,433 Walker Mt. Road,,Floyd,34.2566577,-85.1271907,562212,HH,
1003831,110043789157,WALNUT POWER PLANT,TURLOCK,CA,95380,325 S WASHINGTON RD,,STANISLAUS,37.48991,-120.903588,221112,C,608.4
1006585,110000366657,"WALTER COKE, INC. COKE PLANT",BIRMINGHAM,AL,35207,3500 35TH AVENUE NORTH,,JEFFERSON,33.561944,-86.802333,331111,"C,Q",172825
1006849,110043789166,WALTER REED ARMY MEDICAL CENTER,WASHINGTON,DC,20307,"6900 GEORGIA AVENUE, NW",,,38.976085,-77.0290995,622110,C,31341.4
1005111,110043805610,WARBASSE HOUSES & POWER PLANT,BROOKLYN,NY,11224,2701 WEST 6TH STREET,,KINGS,40.58247,-73.97453,221112,C,34264
1004095,110038100462,WARREN COUNTY DISTRICT LANDFILL,OXFORD,NJ,07863,502 MT PISGAH AVE,,WARREN,40.823674,-75.016567,562212,"C,HH",30.8
1007282,110043814469,WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT,LAYTON,UT,84041,3404 NORTH 650 EAST,,Davis,41.0709042,-111.9880199,562212,"C,HH",28148.1
1004351,110032610191,WASATCH REGIONAL LANDFILL,North Skull Valley,UT,84029,8833 ROWLEY ROAD,,Tooele,40.6725315,-112.762883,562212,"C,HH",
1004515,110014271019,WASCO LANDFILL,THE DALLES,OR,97058,2550 STEELE ROAD,,WASCO,45.55696,-121.13706,562212,"C,HH",
1004647,110007371637,WASHINGTON 10 STORAGE (MICHIGAN CONSOLIDATED),ROMEO,MI,48065,12700 30 MILE ROAD,,MACOMB,42.77269,-83.0063,221210,C,31702.5
1005064,110002161366,WASHINGTON COUNTY SOLID WASTE,WASHINGTON,UT,84780,325 N LANDFILL ROAD,,WASHINGTON,37.136944,-113.451942,562212,"C,HH",
1005944,110043814478,WASHINGTON MILLS HENNEPIN INC.,HENNEPIN,IL,61327,13230 ESK STREET,,PUTNAM,41.297618,-89.305886,327910,"BB,C",113098
1005091,110043784232,WASHINGTON STATE UNIVERSITY,PULLMAN,WA,99164,WSU EH&S CORNER OF GRIMES WAY/AIRPORT ROAD,,WHITMAN,46.7287207,-117.1542743,611310,C,53103.1
1007399,110000503018,WASKOM GAS PROCESSING PLANT,WASKOM,TX,75692,155 PRIVATE ROAD 1133,,HARRISON,32.369286,-94.068249,211112,"C,NN",58494
1002629,110012182422,WASSON CO2 REMOVAL PLANT,DENVER CITY,TX,79323,2582 COUNTY ROAD 355,,YOAKUM,33.009722,-102.753333,211111,C (Abbr),130075.5
1007583,110020682037,WASTE MANAGEMENT CHARLES CITY LANDFILL,CHARLES CITY,VA,23030,8000 CHAMBERS RD,,CHARLES CITY COUNTY,37.43963,-77.138347,562212,"C,HH",15651.6
1007935,110001222891,WASTE MANAGEMENT DISPOSAL SERVICE MOUNTAIN VIEW LANDFILL,GREENCASTLE,PA,17225,9446 LETZBURG ROAD,,FRANKLIN,39.798235,-77.809553,562212,"C,HH",717.7
1007989,110002059904,WASTE MANAGEMENT DISPOSAL SERVICES OF OREGON,ARLINGTON,OR,97812,18177 CEDAR SPRINGS LANE,,GILLIAM,45.61354,-120.22175,562212,"C,HH",1454.7
1007818,110001917427,WASTE MANAGEMENT GREATER WENATCHEE LANDF,EAST WENATCHEE,WA,98802,191 E WEBB RD,,DOUGLAS,47.40412,-120.17028,562212,HH,
1003800,110021082736,WASTE MANAGEMENT INC,SAN LEANDRO,CA,94577,2615 DAVIS STREET,,ALAMEDA,37.7145,-122.19314,562212,HH,
1008010,110043810463,WASTE MANAGEMENT OF CT INC,NEW MILFORD,CT,06776,182-2 DANBURY RD,,Litchfield,41.5908094,-73.3944466,562212,"C,HH",
1007797,110001245625,WASTE MANAGEMENT OF LA LLC - WOODSIDE SANITARY LANDFILL & RECYCLING CENTER,WALKER,LA,70785,29340 WOODSIDE DR,,LIVINGSTON,30.497611,-90.828821,562212,"C,HH",922.1
1003299,110038037898,WASTE MANAGEMENT OF LA LLC/RELIABLE LANDFILL,LIVONIA,LA,70755,9533 MOORE LANE,,POINTE COUPEE,30.5765125,-91.5305465,562212,HH,
1003259,110003705606,WASTE MANAGEMENT OF MICHIGAN INC,LAKE ORION,MI,48359,600 W SILVER BELL RD,,OAKLAND,42.72271,-83.25484,562212,"C,HH",227.1
1003582,110007593979,WASTE MANAGEMENT OF MICHIGAN INCORPORATED,WAYNE,MI,48184,5900 HANNAN ROAD,,WAYNE,42.26139,-83.42616,562212,"C,HH",679.3
1007890,110002306406,"WASTE MANAGEMENT OF MISSISSIPPI INC, PECAN GROVE LANDFILL AND RECYCLING CENTER A",PASS CHRISTIAN,MS,39571,9685 FIRETOWER ROAD,,HARRISON,30.427,-89.266889,562212,HH,
1003399,110014002792,"WASTE MANAGEMENT OF MISSISSIPPI INC, PLANTATION OAKS MUNICIPAL LANDFILL AND RECY",SIBLEY,MS,39165,35 SHIELDSBORO ROAD,,ADAMS,31.357028,-91.395056,562212,"C,HH",228.7
1007891,110002327303,"WASTE MANAGEMENT OF MISSISSIPPI INC, PRAIRIE BLUFF LANDFILL AND RECYCLING CENTER",HOUSTON,MS,38851,1649 HIGHWAY 15 NORTH,,CHICKASAW,33.957622,-88.991718,562212,HH,
1007617,110010307630,"WASTE MANAGEMENT OF NEW YORK, LLC",CHAFFEE,NY,14030,10860 OLEAN ROAD,,ERIE,42.581913,-78.499515,562212,"C,HH",2580.5
1007894,110043789184,WASTE MANAGEMENT OF TEXAS AUSTIN COMMUNITY RECYCLING & DISPOSAL FACILITY,AUSTIN,TX,78754,9900 GILES RD,,TRAVIS,30.33377,-97.62198,562212,"C,HH",331.2
1007683,110008500700,WASTE MANAGEMENT OF TUNICA LANDFILL INC,ROBINSONVILLE,MS,38664,6035 BOWDRE ROAD,,TUNICA,34.787667,-90.248278,562212,"C,HH",162.1
1007834,110010410581,"WASTE MANAGEMENT OF WISCONSIN, INC.",WHITELAW,WI,54247,6207 HEMPTON LAKE ROD POST OFFICE BOX 227,,MANITOWOC,44.17313,-87.8418,562212,"C,HH",1722.6
1007854,110030747583,WASTE MANAGEMENT PECAN PRAIRIE,CELESTE,TX,75423,1308 HIGHWAY 69 N,,HUNT,33.175676,-96.130437,562212,HH,
1007852,110022938375,WASTE MANAGEMENT SKYLINE LANDFILL,FERRIS,TX,75125,1201 N CENTRAL AVE,,ELLIS,32.54992,-96.66561,562212,"C,HH",407
1003556,110000819259,WASTE MGMT DSPL SVC OF PA POTTSTOWN LDFL,POTTSTOWN,PA,19464,1425 SELL ROAD,,MONTGOMERY,40.270359,-75.654282,562212,"C,HH",
1007907,110001743695,WASTE MGMT OF CO INC,LITTLETON,CO,80126,4200 E COUNTY LINE RD,,DOUGLAS,39.565929,-104.939064,562212,"C,HH",27.6
1007851,110009434996,WASTE MGMT OF OK,TULSA,OK,74116,4041 N 141ST E AVE,,TULSA,36.197988,-95.819919,562212,"C,HH",84.9
1007801,110001637845,WASTE MGMT OF OK/EAST OAK LNDFLL,OKLAHOMA CITY,OK,73141,3201 MOSLEY ROAD,,OKLAHOMA,35.50525,-97.41514,562212,HH,
1007400,110000544233,WATER QUALITY CENTER,WISCONSIN RAPIDS,WI,54495,2811 FIFTH AVE N,,WOOD,44.419722,-89.834167,322121,C,176.2
1007720,110041603100,WATERS LANDFILL,FREDERIC,MI,49733,11376 SHERMAN RD,,CRAWFORD,44.848798,-84.666213,562212,"C,HH",1112.4
1008042,110028051159,WAUNA MILL,CLATSKANIE,OR,97016,92326 TAYLORVILLE ROAD,,CLATSOP,46.157035,-123.407836,322121,"AA,C",200104.5
1002200,110017412771,WAUPACA Foundry INC. - PLT 1,WAUPACA,WI,54981,406 NORTH DIVISION STREET,,WAUPACA,44.36062,-89.0827,331511,C,81978.8
1006679,110000421918,WAUSAU PAPER - BROKAW MILL,BROKAW,WI,54417,202 SECOND STREET,,MARATHON,45.026,-89.654,322121,"AA,C",119419.9
1007273,110000422043,WAUSAU PAPER MILLS LLC,MOSINEE,WI,54455,100 MAIN STREET,,MARATHON,44.787111,-89.698611,322121,"AA,C",158915.6
1003856,110043812684,WAUSAU PAPER MILLS LLC,BRAINERD,MN,56401,1801 MILL AVENUE NORTH EAST,,Crow Wing,46.3259522,-94.1442531,322121,C,113379.4
1005991,110043795907,"WAUSAU PAPER MILLS, LLC",RHINELANDER,WI,54501,515 W DAVENPORT ST,,Oneida,45.6366479,-89.3462193,322121,C,232225.1
1007061,110043795916,WAYNE COUNTY LANDFILL,FAIRFIELD,IL,62837,IL STATE RT 15 W,,WAYNE,38.378937,-88.3597683,562212,"C,HH",14
1005269,110000497132,WAYNE DISPOSAL,BELLEVILLE,MI,48111,49350 NORTH I-94 SERVICE DRIVE,,WAYNE,42.1966,-83.4863,562211,"C,HH",3587.1
1005556,110003711234,WAYNE STATE UNIVERSITY,DETROIT,MI,48202,5454 Cass Avenue,,WAYNE,42.36012,-83.069,611310,C,48299.5
1003656,110043795925,WD73A-D Platform WD Block 73 Field 73,Houston,TX,77210,Lat: N 28 56 46.82Long: W 89 42 23.26,,HARRIS,29.77,-95.37,211111,C (Abbr),47850.2
1004799,110035195614,WE HEREFORD ETHANOL FACILITY,HEREFORD,TX,79045,3748 S PROGRESSIVE ROAD,,DEAF SMITH,34.82366,-102.3703,325193,C,102944.1
1003317,110031262489,WEATHERFORD PLANT,WEATHERFORD,TX,76088,451 JONES ROAD,,PARKER,32.73335,-97.8744,211111,C (Abbr),58489.9
1006135,110013980558,WEBSTER PARISH LANDFILL,MINDEN,LA,71055,493 LANDFILL RD,,WEBSTER,32.63301,-93.387743,562212,"C,HH",
1003526,110018048860,WEDRON COMPLEX (WEDRON SILICA CO & TECHNISAND WEDRON),WEDRON,IL,60557,3450 E 2056TH RD,,LASALLE,41.431389,-88.7725,212322,C,29770.3
1006651,110042258268,WELLESLEY COLLEGE,WELLESLEY,MA,02481,106 CENTRAL ST,,NORFOLK,42.295942,-71.299184,611310,C (Abbr),31384.4
1004251,110001672958,WELLFORD LANDFILL,WELLFORD,SC,29385,595 LITTLE MOUNTAIN ROAD,,SPARTANBURG,35.00096,-82.12974,562212,HH,
1003081,110043798995,WELLMAN OF MISSISSIPPI INC,BAY SAINT LOUIS,MS,39520,3303 PORT AND HARBOR DRIVE,,Hancock,30.2733722,-89.4931176,325211,C,55197.2
1002467,110043792615,WELTY COMPRESSOR STATION,PADEN,OK,74860,8 MI N THEN 1MI W OF,,Okfuskee,35.540806,-96.5569882,486210,C (Abbr),29596.7
1004742,110016893879,WEST BROWN COUNTY LANDFILL,ONEIDA,WI,54155,3734 MASON STREET,,BROWN,44.511148,-88.156125,562212,HH,
1007889,110021346685,WEST CAMDEN SANITARY LANDFILL,CAMDEN,TN,38320,2410 HIGHWAY 70 WEST,,BENTON,36.046351,-88.135665,562212,HH,
1001819,110002723465,WEST CENTRAL LANDFILL,REDDING,CA,96001,14095 CLEAR CREEK RD,,SHASTA,40.501219,-122.448313,562212,HH,
1005090,110006655949,WEST DAVIES COUNTY LANDFILL,OWENSBORO,KY,42301,7772 HWY 815,,DAVIESS,37.675278,-87.275,562212,"C,HH",16
1006411,110041025869,WEST FLOTATION PLANT,CARLSBAD,NM,88220,1996 POTASH MINE RD,,EDDY,32.49045,-103.93788,212391,C,8162.1
1006173,110034132542,WEST HAWAII LANDFILL / PUU ANAHULU,WAIKOLOA,HI,96738,71-111 QUEEN KAAHUMANU HWY,,HAWAII,19.904893,-155.883239,562212,HH,
1007567,110041464509,WEST JOHNSON COUNTY PLANT,GODLEY,TX,76044,"From Godley and HWY171, S on HWY2331 4.26mi, E on HWY 1192 junct w/ 2331, cont S for ~1mi, then HWY 1192 E into HWY 2331 S for ~1mi then E on lease road",,JOHNSON,32.374167,-97.535,211112,C (Abbr),59766
1001952,110037596642,WEST KENTUCKY LANDFILL,MAYFIELD,KY,42066,3426 US 45 S,,GRAVES,36.690556,-88.674444,562212,"C,HH",22
