Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address 1,Address 2,County,lat,lon,Primary NAICS Code,Industry Type (subparts),val
1005055,110000346992,Uniboard USA LLC,MONCURE,NC,27559,985 CORINTH ROAD,,CHATHAM,35.600897,-79.04647,321219,C,603.96
1000800,110010063858,Union Power Station,EL DORADO,AR,71730,6434 CALION HWY,,Union,33.300422,-92.592695,221112,D,1039.71
1002617,110043786392,Uniontown,Lemont Furnace,PA,15456,1525 Connelsville Road,,FAYETTE,39.93126,-79.66757,486210,C,20.16
1003600,110043815994,Unionville Storage Copressor Station,DUBACH,LA,71235,"32°40\45.99""N,  92°36\1.50""W",,LINCOLN,32.7122376,-92.6785092,486210,C (Abbr),15.33
1007008,110043815690,United Refining Company,Warren,PA,16365,15 Bradley Street,,WARREN,41.82949,-79.12468,324110,"C,Y",1555.89
1001888,110043813781,United States Department of Energy,Kansas City,MO,64131,2000 East 95th Street,,JACKSON,38.95685,-94.56281,928110,C,9.45
1006965,110041215770,United States Gypsum Company of Sweetwater,SWEETWATER,TX,79556,1 USG Road,,NOLAN,32.4894,-100.36103,327420,C,17.85
1006403,110043797530,University Park Energy,UNIVERSITY PARK,IL,60466,2635 DRALLE ROAD,,Cook,41.4830183,-87.6827676,221112,D,8.19
1005509,110025212375,University of Alaska Fairbanks,Fairbanks,AK,99775,802 Alumni Drive,,FAIRBANKS NORTH STAR,64.853615,-147.820282,611310,C,306.81
1006446,110028036765,University of Arizona,TUCSON,AZ,85721,640 N MOUNTAIN,,PIMA,32.211941,-110.952327,611310,C,30.66
1004124,110043805095,University of Arkansas,Fayetteville,AR,72701,1 University of Arkansas,,WASHINGTON,35.9980929,-94.0899911,611310,C,10.29
1005501,110028039968,"University of California, Los Angeles",LOS ANGELES,CA,90095,405 Hilgard Ave.,,LOS ANGELES,34.066967,-118.445354,611310,C,100.17
1000557,110043969890,"University of California, San Francisco - Parnassus Campus",San Francisco,CA,94143,25 Medical Center Way,,SAN FRANCISCO,37.7607597,-122.4561734,611310,C,26.88
1002459,110043791796,University of Colorado Boulder - Utility Services,Boulder,CO,80309,18th Street & Colorado Avenue,,BOULDER,40.0103247,-105.2889726,221112,C,15.12
1000402,110043786409,University of Florida Cogeneration Plant,GAINESVILLE,FL,32611,BUILDING 82 MOWRY ROAD,,Alachua,29.6130239,-82.371937,221112,"C,D",75.39
1002017,110039664299,University of Maine,Orono,ME,04469,5765 Service Building,,PENOBSCOT,44.89893,-68.673477,611310,C,14.7
1000408,110001318823,University of Michigan,ANN ARBOR,MI,48109,1239 Kipke Drive,,Washtenaw,42.26555,-83.7449,611310,C (Abbr),100.8
1004580,110043802285,University of Nebraska Lincoln (City Campus),Lincoln,NE,68588,905 N 14th,,LANCASTER,40.822719,-96.70128,611310,C,12.39
1005578,110043797549,University of North Texas,Denton,TX,76203,2210 N. Interstate 35E,,DENTON,33.208088,-97.159647,611310,C (Abbr),
1003771,110043791849,University of Pittsburgh - of the Commonwealth System of Higher Education,Pittsburgh,PA,15260,3412 Forbes Avenue,,ALLEGHENY,40.43878,-79.96079,611310,C,1.89
1003758,,University of Pittsburgh Applied Research Center/UPARC,Pittsburgh,PA,15238,3170 William Pitt Way,,Allegheny,40.5230452,-79.8632834,541611,C,3.99
1002368,,University of Pittsburgh/Carrillo Street Steam Plant,Pittsburgh,PA,15260,2740 Carrillo Street,,Allegheny,40.4424402,-79.9531948,611310,C,18.06
1002163,110004326649,University of Rochester,Rochester,NY,14627,390 Elmwood Avenue,,Monroe,43.1318593,-77.623931,611310,C,39.27
1007355,110043802294,University of South Carolina,Columbia,SC,29208,306 Benson School,,Richland,33.9963052,-81.027157,221330,C,8.61
1002803,110043796844,University of Vermont and State Agricultural College,Burlington,VT,05405,284 East Avenue,,CHITTENDEN,44.4742,-73.19058,611310,C (Abbr),10.5
1002682,110043798094,University of Washington Seattle Campus,Seattle,WA,98195,"Hall Health, Box 354400",,KING,47.6508882,-122.3084023,611310,C (Abbr),33.18
1005440,110043791858,Upper Southwest Regional Soild Waste Management District,Nashville,AR,71852,319 Landfill Road,,HOWARD,34.059507,-93.85217,562212,HH,47742.24
1000910,110043805120,Urquhart,BEECH ISLAND,SC,29842,100 KEITH MULLIS DRIVE,,Aiken,33.463853,-81.8879884,221112,"C,D",1376.97
1005599,110043806361,Utah State University,LOGAN,UT,84322,1445 OLD MAIN HILL,,CACHE COUNTY,41.6577331,-111.8434441,611310,"C,D",7.35
1004324,110043797558,V & M STAR SHELDON RD,HOUSTON,TX,77049,8603 SHELDON RD.,,HARRIS,29.83911,-95.12761,332996,C (Abbr),11.13
1001104,110008060873,V H Braunig,ELMENDORF,TX,78112,15290 STREICH RD,,Bexar,29.273188,-98.378735,221112,"C,D",284.76
1002768,110043815707,V&M STAR,Youngstown,OH,44510,2669 Martin Luther King Jr Blv,,Mahoning,41.1280414,-80.6715317,331111,"C,Q",27.51
1004502,110022737289,VAL VERDE TREATER,BLOOMFIELD,NM,87413,119 COUNTY ROAD 4900,,SAN JUAN,36.731389,-107.955277,211111,C,91.98
1002505,110022575480,VALERO ALBERT CITY PLANT,ALBERT CITY,IA,50510,2356 510TH ST,,BUENA VISTA,42.777861,-94.937789,325193,C (Abbr),68.25
1003150,110028118748,VALERO ALBION PLANT,ALBION,NE,68620,2615 260TH ST,,BOONE,41.6775,-97.982222,325193,C (Abbr),66.15
1008110,110043811541,VALERO CORPUS CHRISTI REFINERY,CORPUS CHRISTI,TX,78407,5900 UP RIVER ROAD,,Nueces,27.8121784,-97.4435441,324110,"C,P,Y",9979.893
1006959,110000501993,VALERO CORPUS CHRISTI REFINERY EAST PLANT,CORPUS CHRISTI,TX,78407,1300 CANTWELL LANE,,NUECES,27.81328,-97.44454,324110,"C,P,PP,Y",6235.593
1008504,110033145353,VALERO REFINING CO - CALI FORNIA BENICIA REFINERY,BENICIA,CA,94510,3400 E SECOND ST,,SOLANO,38.074167,-122.145,324110,"C,P,PP,Y",6342.105
1007786,110043795863,VALERO REFINING CO -OKLAHOMA VALERO ARDMORE REFINERY,ARDMORE,OK,73401,One Valero Way,,Carter,34.1681163,-97.1359377,324110,"C,P,Y",4392.129
1008271,110041100493,"VALERO REFINING CO. (PREV. PREMCOR REFINING, PREV. WILLIAMS REFINING LLC)",MEMPHIS,TN,38109,543 WEST MALLORY AVENUE,,Shelby,35.0277217,-90.1401381,324110,"C,Y",8059.674
1006062,110000460885,VALERO REFINING HOUSTON REFINERY,HOUSTON,TX,77012,9701 MANCHESTER,,HARRIS,29.71784,-95.25251,324110,"C,Y",6282.948
1008938,110043812390,VALERO REFINING TEXAS CITY REFINERY,TEXAS CITY,TX,77590,1301 LOOP 197 S,,GALVESTON,29.37038,-94.912265,324110,"C,Y",8992.053
1003779,110043806218,VALERO RENEWABLE FUELS LLC,AURORA,SD,57002,1 VALERO PLACE,,BROOKINGS,44.2605352,-96.6851982,325193,C (Abbr),73.29
1006946,110033676564,VALERO WELCOME PLANT,WELCOME,MN,56181,1444 120TH ST,,MARTIN,43.663889,-94.582222,325193,C (Abbr),71.82
1007704,110043804121,VALLEY TRAIL RECYCLING & DISPOSAL FACILITY,BERLIN,WI,54923,RTE 2 - SOUTH WILLARD ROAD,,GREEN LAKE,43.95997,-88.906399,562212,"C,HH",40734.75
1006182,110009935883,VALLEY VIEW LANDFILL,SULPHUR,KY,40070,9120 SULPHUR ROAD,,HENRY,38.497919,-85.29077,562212,"C,HH",35208.6
